記事	きじ	kiji
有り体	ありてい	aritei
聞き流せる	ききながせる	kikinagaseru
のけ反る	のけぞる	nokezoru
鼻白む	はなじろむ	hanajiromu
くず鉄	くずてつ	kuzutetsu
死にものぐるい	しにものぐるい	shinimonogurui
放りだす	ほうりだす	houridasu
身ごろ	みごろ	migoro
家族づれ	かぞくづれ	kazokudure
手軽い	てがるい|てがりい	tegarui|tegarii
投げこむ	なげこむ	nagekomu
茶飲み話	ちゃのみばなし	tyanomibanashi
かき消える	かききえる	kakikieru
読取る	よみとる	yomitoru
取り計らう	とりはからう	torihakarau
受持つ	うけもつ	ukemotsu
面立ち	おもだち	omodachi
宿り木	やどりぎ	yadorigi
年取り	としとり	toshitori
小手調べ	こてしらべ	koteshirabe
物の本	もののほん	mononohonn
温み	ぬくみ|あたたかみ|ぬるみ	nukumi|atatakami|nurumi
面はゆい	おもはゆい	omohayui
流行らす	はやらす	hayarasu
転べる	ころべる	koroberu
湯あがり	ゆあがり	yuagari
生き神	いきがみ	ikigami
うそ寒い	うそさむい|うそさみい	usosamui|usosamii
物わかり	ものわかり	monowakari
音頭取り	おんどとり	onndotori
立て板に水	たていたにみず	tateitanimizu
度しがたい	どしがたい	doshigatai
打出し	うちだし	uchidashi
ずり落ちる	ずりおちる	zuriochiru
用向き	ようむき	youmuki
予て	かねて	kanete
荷受け	にうけ	niuke
予てから	かねてから	kanetekara
写し絵	うつしえ	utsushie
小暗い	おぐらい|こぐらい	ogurai|kogurai
荷作り	にづくり	nidukuri
取ってつけたよう	とってつけたよう	tottetsuketayou
息む	いきむ	ikimu
飲んべえ	のんべえ	nonnbee
安んずる	やすんずる	yasunnzuru
追いはぎ	おいはぎ	oihagi
玉乗り	たまのり	tamanori
火打ち石	ひうちいし	hiuchiishi
横っ面	よこっつら	yokottsura
飲み手	のみて	nomite
見送れる	みおくれる	miokureru
投げ出せる	なげだせる	nagedaseru
手取り早い	てっとりばやい	tettoribayai
福福しい	ふくぶくしい	fukubukushii
投げだす	なげだす	nagedasu
仕分ける	しわける	shiwakeru
息ぐるしい	いきぐるしい	ikigurushii
あずま屋	あずまや	azumaya
店開き	みせびらき	misebiraki
三つ指	みつゆび	mitsuyubi
急き立てる	せきたてる	sekitateru
落ちのびる	おちのびる	ochinobiru
船遊び	ふなあそび	funaasobi
鼻っ柱	はなっぱしら	hanappashira
負かせる	まかせる	makaseru
お勝手	おかって	okatte
受け合う	うけあう|うけおう	ukeau|ukeou
取っておき	とっておき	totteoki
主立つ	おもだつ	omodatsu
取りなす	とりなす	torinasu
具わる	そなわる	sonawaru
根づよい	ねづよい	neduyoi
語り物	かたりもの	katarimono
悪がしこい	わるがしこい	warugashikoi
かすめ取る	かすめとる	kasumetoru
あばら屋	あばらや	abaraya
波の花	なみのはな	naminohana
面もち	おももち	omomochi
進み出す	すすみだす	susumidasu
取り決める	とりきめる	torikimeru
開けっぴろげ	あけっぴろげ	akeppiroge
次つぎ	つぎつぎ	tsugitsugi
思い起す	おもいおこす	omoiokosu
後暗い	うしろぐらい	ushirogurai
転か	てんか	tennka
鼻かぜ	はなかぜ	hanakaze
暗きょ	あんきょ	annkyo
向い風	むかいかぜ	mukaikaze
受止める	うけとめる	uketomeru
馬返し	うまがえし	umagaeshi
持上げる	もちあげる	mochiageru
想える	おもえる	omoeru
ふくれっ面	ふくれっつら	fukurettsura
酒びたり	さけびたり	sakebitari
日向ぼこ	ひなたぼこ	hinataboko
根回り	ねまわり	nemawari
表ざた	おもてざた	omotezata
倍する	ばいする	baisuru
開きなおる	ひらきなおる	hirakinaoru
事新しい	ことあたらしい	kotoatarashii
物ぐるおしい	ものぐるおしい	monoguruoshii
引き起す	ひきおこす	hikiokosu
度がたい	どしがたい	doshigatai
息せき切る	いきせききる	ikisekikiru
神神しい	こうごうしい	kougoushii
とって返す	とってかえす	tottekaesu
使われだす	つかわれだす	tsukawaredasu
放りっぱなし	ほうりっぱなし	hourippanashi
重おもしい	おもおもしい	omoomoshii
物物しい	ものものしい	monomonoshii
温もる	ぬくもる	nukumoru
受け流せる	うけながせる	ukenagaseru
書送る	かきおくる	kakiokuru
重重しい	おもおもしい	omoomoshii
聞苦しい	ききぐるしい	kikigurushii
曲り角	まがりかど	magarikado
苦にがしい	にがにがしい	niganigashii
犬死に	いぬじに	inujini
あえ物	あえもの	aemono
持ち切り	もちきり	mochikiri
物がなしい	ものがなしい	monoganashii
手重い	ておもい	teomoi
列ねる	つらねる	tsuraneru
育くむ	はぐくむ	hagukumu
由由しい	ゆゆしい	yuyushii
昔なじみ	むかしなじみ	mukashinajimi
ばく進	ばくしん	bakushinn
物すさまじい	ものすさまじい	monosusamajii
死にぞこない	しにぞこない	shinizokonai
たれ流し	たれながし	tarenagashi
手速い	てばやい	tebayai
有り合わせ	ありあわせ	ariawase
物がたい	ものがたい	monogatai
軽がろしい	かろがろしい	karogaroshii
物ものしい	ものものしい	monomonoshii
取出す	とりだす	toridasu
苦しまぎれ	くるしまぎれ	kurushimagire
神ごうしい	こうごうしい	kougoushii
美美しい	びびしい	bibishii
指ぬき	ゆびぬき	yubinuki
代われる	かわれる	kawareru
薬きょう	やっきょう	yakkyou
勝ち名乗り	かちなのり	kachinanori
木深い	こぶかい	kobukai
苦苦しい	にがにがしい	niganigashii
わき役	わきやく	wakiyaku
事ごとしい	ことごとしい	kotogotoshii
転がりこむ	ころがりこむ	korogarikomu
出向ける	でむける	demukeru
弓取り	ゆみとり	yumitori
物ぐるわしい	ものぐるわしい	monoguruwashii
打ちだす	うちだす	uchidasu
曲曲しい	まがまがしい	magamagashii
真っ正直	まっしょうじき	masshoujiki
手向ける	たむける	tamukeru
やぶ医者	やぶいしゃ	yabuisha
根ぶかい	ねぶかい	nebukai
四つ身	よつみ	yotsumi
事事しい	ことごとしい	kotogotoshii
横っちょ	よこっちょ	yokottyo
身びいき	みびいき	mibiiki
美びしい	びびしい	bibishii
界わい	かいわい	kaiwai
見返せる	みかえせる	mikaeseru
起きぬけ	おきぬけ	okinuke
乗りかえる	のりかえる	norikaeru
切取り	きりとり	kiritori
わい曲	わいきょく	waikyoku
手開き	てひらき|てびらき	tehiraki|tebiraki
打ちあげる	うちあげる	uchiageru
送りがな	おくりがな	okurigana
打消す	うちけす	uchikesu
一つ身	ひとつみ	hitotsumi
育める	はぐくめる	hagukumeru
田遊び	たあそび	taasobi
明り取り	あかりとり	akaritori
重ね合わす	かさねあわす	kasaneawasu
ぜん動	ぜんどう	zenndou
決めこむ	きめこむ	kimekomu
見落す	みおとす	miotosu
取り切れる	とりきれる	torikireru
注する	ちゅうする	tyuusuru
住まわす	すまわす	sumawasu
起き上がれる	おきあがれる	okiagareru
ひと役	ひとやく	hitoyaku
火持ち	ひもち	himochi
はね返り	はねかえり	hanekaeri
習わす	ならわす	narawasu
乗りまわす	のりまわす	norimawasu
待ち客	まちきゃく	machikyaku
悪たれ	あくたれ	akutare
駅売り	えきうり	ekiuri
打上げ花火	うちあげはなび	uchiagehanabi
追いたてる	おいたてる	oitateru
やり返せる	やりかえせる	yarikaeseru
流ちょう	りゅうちょう	ryuutyou
上向ける	うわむける	uwamukeru
見返る	みかえる	mikaeru
ひと皮	ひとかわ	hitokawa
どら息子	どらむすこ	doramusuko
仕来り	しきたり	shikitari
乗り出せる	のりだせる	noridaseru
打ち消せる	うちけせる	uchikeseru
はしご乗り	はしごのり	hashigonori
うす皮	うすかわ	usukawa
先乗り	さきのり	sakinori
立て役者	たてやくしゃ	tateyakusha
一生けん命	いっしょうけんめい	isshoukennmei
送り返せる	おくりかえせる	okurikaeseru
勝ちぬく	かちぬく	kachinuku
引き物	ひきもの	hikimono
待ちあわせる	まちあわせる	machiawaseru
切り落す	きりおとす	kiriotosu
打ち返せる	うちかえせる	uchikaeseru
方向づける	ほうこうづける	houkoudukeru
小屋組み	こやぐみ	koyagumi
お代り	おかわり	okawari
待ち合せる	まちあわせる	machiawaseru
油通し	あぶらどおし|ゆどおし	aburadooshi|yudooshi
夏負け	なつまけ	natsumake
ひん曲げる	ひんまげる	hinnmageru
い集	いしゅう	ishuu
引受ける	ひきうける	hikiukeru
ぬぐい去る	ぬぐいさる	nuguisaru
打明ける	うちあける	uchiakeru
持合い	もちあい	mochiai
身動ぎ	みじろぎ	mijirogi
見守れる	みまもれる	mimamoreru
落ちこぼれる	おちこぼれる	ochikoboreru
手配り	てくばり	tekubari
持ち重り	もちおもり	mochiomori
でんぐり返る	でんぐりがえる	denngurigaeru
切返し	きりかえし	kirikaeshi
けん化	けんか	kennka
もち屋	もちや	mochiya
まっ暗	まっくら	makkura
事もなげ	こともなげ	kotomonage
聞取り	ききとり	kikitori
西洋なし	せいようなし	seiyounashi
開き直れる	ひらきなおれる	hirakinaoreru
