自分	じぶん	jibunn
顔色	かおいろ|がんしょく	kaoiro|gannshoku
頭上	ずじょう	zujou
中高年	ちゅうこうねん	tyuukounenn
山歩き	やまあるき	yamaaruki
台本	だいほん	daihonn
生前	せいぜん	seizenn
一読	いちどく	ichidoku
風力	ふうりょく	fuuryoku
校内	こうない	kounai
行き先	いきさき|ゆきさき	ikisaki|yukisaki
公明	こうめい	koumei
わが家	わがや	wagaya
見当	けんとう	kenntou
鳴く	なく	naku
白書	はくしょ	hakusho
光線	こうせん	kousenn
日当たり	ひあたり	hiatari
自生	じせい	jisei
組合せ	くみあわせ	kumiawase
冬場	ふゆば	fuyuba
口頭	こうとう	koutou
社交	しゃこう	shakou
心中	しんじゅう|しんちゅう	shinnjuu|shinntyuu
手引き	てびき	tebiki
交番	こうばん	koubann
市町	しちょう	shityou
文体	ぶんたい	bunntai
切り口	きりくち	kirikuchi
近道	ちかみち	chikamichi
茶道	さどう|ちゃどう	sadou|tyadou
ただ今	ただいま	tadaima
首長	しゅちょう	shutyou
前夜	ぜんや	zennya
文科	ぶんか|もんか	bunnka|monnka
通気	つうき	tsuuki
社外	しゃがい	shagai
丸太	まるた	maruta
母体	ぼたい	botai
近日	きんじつ	kinnjitsu
本国	ほんごく	honngoku
朝方	あさがた	asagata
何時	いつ|なんどき	itsu|nanndoki
回帰	かいき	kaiki
汽車	きしゃ|ぎしゃ	kisha|gisha
太り	ふとり|ぶとり	futori|butori
親しい	したしい	shitashii
図形	ずけい	zukei
道内	どうない	dounai
年明け	としあけ|ねんあけ	toshiake|nennake
合せ	がっせ|あわせ	gasse|awase
口内	こうない	kounai
羽目	はめ|ばめ	hame|bame
黒木	くろき	kuroki
光り	ひかり	hikari
番長	ばんちょう	banntyou
思ふ	おもふ	omofu
名店	めいてん	meitenn
火曜	かよう	kayou
言い分	いいぶん	iibunn
男前	おとこまえ	otokomae
黒色	くろいろ|こくしょく	kuroiro|kokushoku
羽毛	うもう	umou
細やか	こまやか|ささやか|ほそやか	komayaka|sasayaka|hosoyaka
門前	もんぜん	monnzenn
同月	どうげつ	dougetsu
地中	ちちゅう	chityuu
道理	どうり	douri
親分	おやぶん	oyabunn
川原	かわら|がわら	kawara|gawara
音頭	おんど	onndo
年長	ねんちょう	nenntyou
風合い	ふうあい	fuuai
用心	ようじん	youjinn
日食	にっしょく	nisshoku
月光	げっこう	gekkou
風車	ふうしゃ|かざぐるま	fuusha|kazaguruma
計り	ばかり|はかり	bakari|hakari
